token,score
▁u,7.244463399544401
▁do,7.257349548336287
▁so,7.261261591581388
wo,7.265670689131927
▁me,7.269363326258081
ir,7.28682311510379
▁re,7.301882864758251
all,7.307289608558698
sa,7.310852816305943
ver,7.333028549861982
ss,7.359225692562208
ig,7.364408535513109
my,7.366951183096207
tr,7.370322028276568
out,7.375159183280924
▁as,7.3758057635699315
rs,7.389882823894597
hin,7.394314028971888
ith,7.397008850959545
ie,7.3982110017198695
▁li,7.406075744927436
▁my,7.407807634969714
▁for,7.410387060123451
bu,7.412319416731055
ent,7.4165133726858326
wit,7.425409730104992
▁ca,7.429673109611686
ther,7.435166475926739
io,7.436279164739064
em,7.441287045986357
▁wit,7.4416304470373245
oul,7.448142716002096
ht,7.448389343412548
ght,7.452223262229544
with,7.455140532299106
▁with,7.457355676397888
mi,7.461014693693412
uld,7.466387237540652
▁ma,7.466833980300569
ould,7.467728595540481
▁bu,7.471136728927586
▁wo,7.4743086924977105
ol,7.482585479786172
ec,7.491354695193272
ev,7.491611943197929
bo,7.494229744671803
ey,7.497089044452454
ter,7.503466877328235
▁k,7.5149891988750825
▁lo,7.515302673574999
▁sa,7.5208045876501695
fe,7.529761756085849
rt,7.540158195515552
av,7.54050362580575
ba,7.546915847097207
▁se,7.5530429480591375
▁mo,7.55835039441574
ns,7.559641319035831
am,7.563786023707731
had,7.564804208397383
fi,7.572563811472273
one,7.573959363737765
▁thi,7.581264795307055
eve,7.591919348463052
pa,7.593833176889283
os,7.598891485408248
▁had,7.599012471395798
ug,7.607480855666498
fr,7.614448752744015
go,7.617795022456103
rea,7.6219092511443955
▁al,7.63339166432779
▁di,7.637185036661984
ni,7.6424453021500485
▁at,7.647450138328266
igh,7.651672203921442
ki,7.657160423776891
ome,7.659266695437159
bl,7.659641687187397
nc,7.669360997494793
ion,7.670448760593105
if,7.683775791661921
ab,7.685240009046755
thin,7.6889470252328165
but,7.703120214225898
▁fr,7.7068699756420544
tt,7.7152402893819385
ry,7.720892592782685
▁but,7.723381830242688
ok,7.725469405577262
pr,7.72896679332507
pl,7.737694481506897
▁ba,7.743108957202932
ave,7.748427160950068
▁go,7.758047815148907
ov,7.759957876061044
up,7.761807517266953
ear,7.762168882905441
him,7.767216708641073
rd,7.768345061478621
▁ho,7.770479196382541
ag,7.776509822922627
▁him,7.781674682364018
ight,7.7848885878692355
ugh,7.787216446275996
ted,7.791461216078338
not,7.799808839747113
here,7.800959418418973
po,7.803356945175705
hen,7.812188899684205
▁ar,7.814554994696098
▁ou,7.8174308453550845
su,7.821326957362591
fa,7.827085927695608
han,7.830068216372548
ct,7.830505442338994
hing,7.8318736273344385
op,7.843972727530182
od,7.846553247306236
▁fi,7.846688086290095
ga,7.855823406743501
ove,7.863506093917101
ap,7.872171616537508
ak,7.873837717348831
tu,7.874190548383463
hou,7.8751066582524
ack,7.896092966836552
are,7.9054313768954465
und,7.906260995902084
na,7.913896284788358
int,7.9174933885674585
▁ne,7.921789551080708
da,7.922285921486834
sta,7.927521562963609
our,7.935465954230334
oun,7.936820700700171
ate,7.938806767479792
▁fa,7.946904219517326
▁de,7.947221241501171
▁le,7.948545680550098
▁pa,7.949176144691715
ook,7.952261229850025
▁not,7.955218071463795
pp,7.956269043709771
ill,7.958292420781205
tio,7.960753251222276
red,7.966277313869369
cou,7.967854240029934
gr,7.968246672519192
oth,7.968989522079485
tion,7.972126336489348
ain,7.973404582916566
oug,7.974243715680123
ough,7.974243715680123
vi,7.9797044653391636
fro,7.9830345437943615
br,7.985723624184075
▁j,7.987512191781501
sp,7.990170863753296
wer,7.994162741893308
▁fro,7.9974508350870686
iv,7.998631516678938
rou,8.001197391964118
ts,8.002555483097971
ye,8.00881080141882
▁cou,8.01082106965024
ore,8.01964602816983
now,8.027442603918535
▁out,8.028496112296093
ant,8.036790499951502
ep,8.037791985384265
▁si,8.037914426695272
kin,8.038929718826807
hav,8.041200603825413
ked,8.04391408330212
thing,8.048678209380656
kn,8.05019642193107
▁pr,8.0516570099668
cl,8.055989991302049
tin,8.057518875457275
whe,8.061086745630197
▁hav,8.063641527690354
nce,8.067788530365217
loo,8.072863821186214
ide,8.073551519792357
rn,8.085057603977438
ess,8.09003666198327
▁su,8.090730341297393
▁up,8.091437370677964
ead,8.091884407802114
▁fe,8.100956814252475
hea,8.102246323135345
rom,8.102558074799399
▁is,8.103736402816864
▁tr,8.10523472801204
hey,8.106666953423549
▁ch,8.106751384146934
oi,8.107061024469001
they,8.10755634670132
▁they,8.113472372973057
▁kn,8.113572054876547
pi,8.115498827986851
cr,8.116542272554122
ever,8.120857453822934
ers,8.121042501039815
have,8.122795775611003
wn,8.122888219073081
ell,8.128011997475376
▁have,8.134261407874636
ned,8.13658365014481
▁ev,8.13667116288017
ef,8.146457571554576
ex,8.148122959819947
▁whe,8.149341044862268
ru,8.150120684861298
way,8.15123033236934
ust,8.163593958386022
own,8.169495578647778
ff,8.17377129526183
een,8.17915785323993
▁eve,8.181195332847249
from,8.181989922314624
▁from,8.18360433513328
ei,8.183856737914091
ard,8.196785897689368
ew,8.19980464112654
▁bo,8.203599651272585
▁int,8.208461816517978
res,8.208708329103471
uc,8.21039603963234
▁la,8.211035662772813
ik,8.21477562702762
gi,8.215347466071357
▁v,8.21588768099364
est,8.21589945240956
mp,8.217055968654256
ound,8.21733548310916
con,8.21815033742534
aid,8.222381842053409
▁hea,8.226308987814845
som,8.229695631778167
lin,8.231176669480343
wha,8.23443424276312
der,8.234590718160826
▁ta,8.236745599994533
what,8.237998697106287
some,8.238312790142308
▁mi,8.240706689399381
au,8.245011273554043
this,8.245388771669592
ny,8.245538886969971
dr,8.247033184821266
tho,8.24705342459317
▁this,8.250203673805585
▁br,8.252107083619626
▁wha,8.253702046157374
tl,8.25645996262812
▁what,8.25733597177361
▁gr,8.258439667218969
ive,8.261120377241193
were,8.263716560298239
king,8.264237665665066
▁som,8.266700412797839
▁some,8.268789750882556
ds,8.271057594549205
ind,8.27202534449369
ike,8.272681908870814
ting,8.27361619491932
com,8.281161565014663
man,8.282113992504478
▁sta,8.28471488650198
led,8.28571879136133
ste,8.289000671822723
ft,8.28931974065111
▁ab,8.289673911651827
eat,8.301748828565618
wou,8.302156923263912
ju,8.303928688933343
▁wou,8.304220104541814
che,8.30742392242262
▁all,8.307732334392187
did,8.309137980202948
nk,8.310467967419308
sho,8.313821095747155
▁did,8.3185206559439
bac,8.320031132596792
▁da,8.32210538094314
sai,8.324574425536776
▁wer,8.32575805704726
▁were,8.32575805704726
lik,8.326068421534043
othe,8.328527833874793
▁sai,8.329341867941595
back,8.330266540493135
coul,8.33095934864443
could,8.33095934864443
▁un,8.331920770414527
like,8.332055493621496
▁coul,8.332309250627542
▁could,8.332309250627542
woul,8.336251689139102
would,8.336251689139102
ci,8.337242263582443
▁ti,8.337744250810351
▁woul,8.338386503454325
▁would,8.338386503454325
▁bac,8.339272018808247
sed,8.340674473269562
▁sho,8.341026982583747
▁cl,8.341850623670258
hr,8.344716404846874
▁back,8.345728807341295
rr,8.348164810767207
▁said,8.350011740324419
said,8.350011740324419
ake,8.355033723212905
▁loo,8.3552605159395
ia,8.35903850020817
lea,8.3646881411342
▁lik,8.370445115533656
aw,8.371672549320422
▁like,8.374200896175061
ty,8.374446528969719
pu,8.375120687184566
look,8.377568162963316
men,8.379398962312372
use,8.382393758369375
other,8.382830173402356
art,8.383015657792058
ace,8.38672261434806
ati,8.386838990191624
nto,8.388225236233001
ble,8.391292046082139
rm,8.39406278507016
▁rea,8.395147214500527
▁look,8.397548130902075
▁if,8.399410524292243
over,8.406054649467714
wor,8.409599805999209
rin,8.411071814282751
nte,8.411544105678278
ine,8.41467928117242
▁te,8.416802054333532
▁one,8.417006286182621
tur,8.423058242143885
▁ju,8.434280325369839
see,8.437917358612223
▁thin,8.439253651411526
there,8.440792458543719
nde,8.449514421600949
▁see,8.45264113833617
ast,8.454092576203685
▁con,8.455658680342227
any,8.456722181127468
sc,8.46799238291817
▁po,8.471023397492749
▁ther,8.471511848176721
mor,8.475187575105293
▁there,8.47735772305282
ue,8.47739631050455
▁com,8.477587813662936
min,8.479065732602695
abo,8.487018149589671
thr,8.487693216129214
▁ro,8.488426157072713
bou,8.489292249393664
ppe,8.490952883249445
lly,8.492448484798713
ose,8.493059185385881
get,8.493204152154723
kno,8.494910569622304
ip,8.495055063997833
sti,8.497621647967566
hed,8.497750187399443
▁ge,8.501754317489182
qu,8.502385659380282
per,8.505200947511597
into,8.506969223020041
▁into,8.507206229657337
▁abo,8.511320031181508
fu,8.511882831455388
when,8.514337387025416
mu,8.514981261661392
dow,8.515358559239859
hu,8.516134016107902
▁when,8.518055198255775
str,8.518637736241512
thou,8.519002753895041
ime,8.520663329887135
▁kno,8.522662562671341
▁wor,8.52467419696702
▁pu,8.527304263852557
ure,8.527909829640597
▁sp,8.535311827762508
oin,8.536104463317088
tim,8.540035233987892
ood,8.541491238595285
too,8.544568458342097
▁han,8.54478105670371
jus,8.54591489889384
just,8.54591489889384
ous,8.546042000505512
▁tho,8.548890816168354
▁thr,8.550206288176945
old,8.552508023333457
ame,8.552692485424862
▁ex,8.552720746453142
▁dr,8.55315967993821
ven,8.5545468449177
▁ag,8.55565796401224
▁pe,8.556522846984008
sto,8.557057274197968
gu,8.557472085653973
ist,8.558770468856208
sl,8.5640031558743
know,8.564335874990574
din,8.566098193089138
ded,8.571705445809066
oc,8.571715846978156
▁jus,8.571788658191116
▁just,8.571788658191116
▁pl,8.572529873898802
cu,8.573874428615515
um,8.57937721800979
bout,8.581012010889982
▁en,8.582164264416253
abou,8.58385140440277
about,8.585221821046359
pla,8.586774417899436
hand,8.587687785387732
fl,8.589096851642772
▁abou,8.59062368144614
▁about,8.59062368144614
tra,8.59138307551719
▁know,8.594113005883912
▁or,8.595285378311893
ui,8.597163052909188
rie,8.597668741506096
hem,8.599727792169029
ile,8.59993598809449
ath,8.60519638949367
rk,8.606192169307489
▁hand,8.609113208825493
ong,8.611473183177775
ling,8.612267746209932
nge,8.615360385928383
wan,8.618258913208479
lle,8.620124838968543
time,8.620856553797076
end,8.623107978925333
them,8.623111348081215
ice,8.623632019067678
tte,8.62392870370336
ins,8.624842910831559
▁them,8.625894776512615
bi,8.627071204482645
lu,8.63055026145546
ect,8.63197519255175
ten,8.633488963047098
ery,8.63414706196532
sid,8.634864397664872
by,8.638451117257437
side,8.639003800566012
then,8.640720262746486
how,8.640944030961274
pro,8.642194968469427
ys,8.643144081892725
▁ov,8.644305716445562
whi,8.645452336753252
▁ove,8.647137636215138
sk,8.648956287995633
app,8.650313362700722
▁wan,8.651279746310694
▁over,8.65147122880601
▁then,8.65273801596228
fin,8.6563869254262
cha,8.657635546158945
lf,8.657945982760866
nti,8.661556208537734
▁bl,8.66376440745781
ped,8.667771752431394
bee,8.668369086120801
▁bee,8.670592397386946
